Version,Version Code,Release Date,Archived?,Minimum SDK,Target SDK,Notes,Link,
2.674.786,1820,05/28/2025,Yes,API 23,API 34,,https://archive.org/download/com.roblox.client.vnggames-1820/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
2.678.752,1844,06/19/2025,Yes,API 23,API 34,,https://archive.org/download/com.roblox.client.vnggames-1844/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
2.679.762,1850,06/29/2025,Yes,API 23,API 34,,https://archive.org/download/com.roblox.client.vnggames-1850/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
2.681.805,1854,07/14/2025,Yes,API 23,API 34,,https://archive.org/download/com.roblox.client.vnggames-1854/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
2.683.775,1860,07/28/2025,Yes,API 26,API 34,,https://archive.org/download/com.roblox.client.vnggames-1860/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
2.684.688,1864,08/03/2025,Yes,API 26,API 34,,https://archive.org/download/com.roblox.client.vnggames-1864/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
2.685.797,1868,08/11/2025,Yes,API 26,API 34,,https://archive.org/download/com.roblox.client.vnggames-1868/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
2.686.866,1870,08/17/2025,Yes,API 26,API 34,,https://archive.org/download/com.roblox.client.vnggames-1870/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
2.687.815,1872,08/22/2025,Yes,API 26,API 34,,https://archive.org/download/com.roblox.client.vnggames-1872/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
2.688.861,1874,08/29/2025,Yes,API 26,API 34,,https://archive.org/download/com.roblox.client.vnggames-1874/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
2.689.880,1878,09/04/2025,Yes,API 26,API 34,,https://archive.org/download/com.roblox.client.vnggames-1878/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
2.690.721,1880,09/15/2025,Yes,API 26,API 34,,https://archive.org/download/com.roblox.client.vnggames-1880/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
2.691.867,1888,09/18/2025,Yes,API 26,API 34,,https://archive.org/download/com.roblox.client.vnggames-1888/,"{""iconMd5"":""01a66e5176489d51aa845e1f907f9e45"",""architectures"":[""arm64-v8a"",""armeabi-v7a""]}"
