Version,Release Date,Archived?,SoftwareVersionExternalIdentifier,Minimum iOS,Notes,Link,"Status: 100%, 17/17"
1.168.51510,09/22/2014,Yes,786692675,iOS 7.0,First version released,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.168.51510.ipa,
1.169.52010,10/12/2014,Yes,811616005,iOS 7.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.169.52010.ipa,
1.173.52968,11/02/2014,Yes,811785751,iOS 7.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.173.52968.ipa,
1.175.53496,11/13/2014,Yes,812205927,iOS 7.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.175.53496.ipa,
1.180.55224,01/29/2015,Yes,812556726,iOS 7.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.180.55224.ipa,
1.184.56375,02/24/2015,Yes,812630322,iOS 7.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.184.56375.ipa,
1.192.58410,04/22/2015,Yes,812748611,iOS 7.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.192.58410.ipa,
1.197.60027,06/10/2015,Yes,813091655,iOS 7.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.197.60027.ipa,
1.199.60486,06/21/2015,Yes,813551680,iOS 7.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.199.60486.ipa,
1.202.60998,07/06/2015,Yes,814607117,iOS 7.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.202.60998.ipa,
1.208.62570,08/23/2015,Yes,815036811,iOS 7.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.208.62570.ipa,
1.215.64271,10/05/2015,Yes,815194065,iOS 7.0,Last version that supported iOS 7.0,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.215.64271.ipa,
1.223.66841,12/10/2015,Yes,816359736,iOS 7.1,First version that requires iOS 7.1,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.223.66841.ipa,
1.229.68875,02/08/2016,Yes,817497036,iOS 7.1,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.229.68875.ipa,
1.246.75745,06/05/2016,Yes,817750426,iOS 7.1,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.246.75745.ipa,
1.247.76247,06/13/2016,Yes,824911694,iOS 7.1,Latest version released,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Roblox%20Developer/ROBLOX%20DEVELOPER%201.247.76247.ipa,
