Version,Release Date,Archived?,SoftwareVersionExternalIdentifier,Minimum iOS,Notes,Link
1.0,05/23/2011,Yes,3618980,iPhoneOS 3.1.3,The first public Roblox iOS version.,https://www.mediafire.com/file/3r3d62l4iknisf1/ROBLOX+1.0+(Decrypted).ipa/file
1.1.0,08/22/2011,Yes,4028187,iOS 4.0,,https://www.mediafire.com/file/wpxz9y27furj0wf/ROBLOX+1.1.0+(Decrypted).ipa/file
1.1.1,09/07/2011,Yes,4117728,iOS 4.0,,https://www.mediafire.com/file/quoyjmeawukzaxu/ROBLOX+1.1.1+(Decrypted).ipa/file
2.1.2,10/28/2012,Yes,11566241,iOS 5.0,,https://www.mediafire.com/file/y1ml9xi04g84ttz/ROBLOX_2.1.2_%2528Decrypted%2529.ipa/file
2.2.2,11/13/2012,Yes,11845671,iOS 5.0,First version with games support (iPad only),https://www.mediafire.com/file/2hwhko0jz1egjon/ROBLOX+2.2.2+(Decrypted).ipa/file
2.3.1,12/06/2012,Yes,12292834,iOS 5.0,First version with remember password switch.,https://www.mediafire.com/file/wv074tl4a7czfmc/ROBLOX+2.3.1+(Decrypted).ipa/file
2.4.1,12/13/2012,Yes,12914633,iOS 5.0,,https://www.mediafire.com/file/8xpk7v4d5jjv05m/ROBLOX_2.4.1_%2528Decrypted%2529.ipa/file
2.5.1,01/16/2013,Yes,13322331,iOS 5.0,,https://www.mediafire.com/file/3ccuptmc1e7wlq7/ROBLOX+2.5.1+(Decrypted)+(iOS+5.0+).ipa/file
2.6.1,01/21/2013,Yes,13561642,iOS 5.0,,https://www.mediafire.com/file/8uabz4rfowse76y/ROBLOX+2.6.1+(Decrypted)+(iOS+5.0+).ipa/file
2.7.6,01/30/2013,Yes,13639870,iOS 5.0,,https://www.mediafire.com/file/px4zqssqpv1zdit/ROBLOX+2.7.6.rar/file
2.8.6,02/10/2013,Yes,13922831,iOS 5.0,,https://www.mediafire.com/file/gfra9vzk9igylf2/ROBLOX+2.8.6+(Decrypted)+(iOS+6.0+).ipa/file
2.9.6,02/15/2013,Yes,14084509,iOS 5.0,,https://www.mediafire.com/file/97dx43ft92bksyu/ROBLOX_2.9.6_%2528Decrypted%2529.ipa/file
2.10.1,02/27/2013,Yes,14296833,iOS 5.0,,https://www.mediafire.com/file/njlpbg02rjqgal4/ROBLOX+2.10.1+(Decrypted)+(iOS+5.0+).ipa/file
2.11.1,04/01/2013,Yes,14457632,iOS 5.0,,https://www.mediafire.com/file/66bo12bhpad6pig/ROBLOX_2.11.1.ipa/file
2.12.1,04/11/2013,Yes,14998911,iOS 5.0,,https://www.mediafire.com/file/nu0n4bzf247f0lm/ROBLOX_2.12.1.ipa/file
2.13.1,04/17/2013,Yes,15070254,iOS 5.0,,https://www.mediafire.com/file/l4rg9zmm9qiros7/ROBLOX_2.13.1.ipa/file
2.14.2,05/05/2013,Yes,15149016,iOS 5.0,,https://www.mediafire.com/file/h61atmk1o9d5321/ROBLOX_2.14.2.ipa/file
2.15.102,05/13/2013,Yes,15325066,iOS 5.0,,https://www.mediafire.com/file/1jkdpjio1b721v3/ROBLOX_2.15.102.ipa/file
2.16.103,05/19/2013,Yes,15409361,iOS 5.0,,https://www.mediafire.com/file/iozvhc6dztogyq4/ROBLOX_2.16.103.ipa/file
2.104.33970,05/28/2013,Yes,15458722,iOS 5.0,,https://drive.google.com/file/d/1UzrgLsRjLnnXVWgl4MlFQDC1WSvtX1pn/view?usp=sharing
2.105.34351,06/04/2013,Yes,15502357,iOS 5.0,,https://www.mediafire.com/file/jbes4qr73cvuxax/ROBLOX_2.105.34351.ipa/file
2.106.34528,06/09/2013,Yes,15556096,iOS 5.0,,https://drive.google.com/file/d/1cjoeA0Qe8pH_Nlwjb4j9fMWWV-VErWwg/view?usp=sharing
2.107.34773,06/17/2013,Yes,15605527,iOS 5.0,,https://www.mediafire.com/file/a6kyfbo9tkta4y2/ROBLOX_2.107.34773.ipa/file
2.108.35154,06/25/2013,Yes,15651008,iOS 5.0,,https://www.mediafire.com/file/r76n67wdvfj4ihi/ROBLOX_2.108.35154.ipa/file
2.109.35240,07/08/2013,Yes,15729981,iOS 5.0,,https://www.mediafire.com/file/2uvvndobuhwfjod/ROBLOX_2.109.35240.ipa/file
2.111.35666,07/18/2013,Yes,15828329,iOS 5.0,,https://www.mediafire.com/file/0z31tp2kgv4hfos/ROBLOX_2.111.35666.ipa/file
2.112.35972,07/23/2013,Yes,15882066,iOS 5.0,,https://drive.google.com/file/d/1oIamcioNJvEjfCxpqjIzmeanWQWc1oqI/view?usp=share_link
2.115.36595,08/12/2013,Yes,15934361,iOS 5.0,,https://www.mediafire.com/file/5eutd0vqh5hy6xh/ROBLOX_2.115.36595.ipa/file
2.116.36845,08/15/2013,Yes,16144244,iOS 5.0,,https://www.mediafire.com/file/p2ylec9n76d23fh/ROBLOX_2.116.36845.ipa/file
2.117.37190,08/21/2013,Yes,16393037,iOS 5.0,,https://www.mediafire.com/file/47e61vviefokyqs/ROBLOX_2.117.37190.ipa/file
2.118.37236,09/08/2013,Yes,16673915,iOS 5.0,,https://www.mediafire.com/file/syzkslsiamitfek/ROBLOX_2.118.37236.ipa/file
2.120.37929,09/17/2013,Yes,28612675,iOS 5.0,,https://www.mediafire.com/file/y81vf1767nfryke/ROBLOX_2.120.37929.ipa/file
2.121.38159,09/19/2013,Yes,45822651,iOS 5.0,,https://www.mediafire.com/file/uoyhaqrvmpa1jx4/ROBLOX_2.121.38159.ipa/file
